상호,시도,시군구,소재지,전산보고여부
주식회사 나이스디앤에스 강릉(인천방향)주유소,강원특별자치도,강릉시,강원특별자치도 강릉시 영동고속도로231-1 (성산면) ,Y
주식회사 나이스디앤에스 옥천(부산방향)주유소,충청북도,옥천군,충청북도 옥천군 서대구일로265-19 (옥천읍) ,Y
주식회사 나이스디앤에스 울주(울산방향)주유소,울산광역시,울주군,울산광역시 울주군 함양울산고속도로134 (삼동면) ,Y
주식회사 나이스디앤에스 울주(함양방향)주유소,울산광역시,울주군,울산광역시 울주군 함양울산고속도로133 (삼동면) ,Y
주식회사 남강OK주유소,대전광역시,대덕구,대전광역시 대덕구 대전로1312 (읍내동) ,Y
주식회사 늘바른,경기도,평택시,경기도 평택시 서동대로2067 (오성면) ,Y
주식회사 늘품오일 한길셀프주유소,인천광역시,서구,인천광역시 서구 검단로861 (불로동) ,Y
주식회사 대교산청(상)주유소,경상남도,산청군,경상남도 산청군 통영대전고속도로76 (단성면) ,Y
주식회사 대교산청(하)주유소,경상남도,산청군,경상남도 산청군 통영대전고속도로77 (단성면) ,Y
주식회사 대원에너지 안성지점,경기도,안성시,경기도 안성시 서동대로7862 (일죽면) ,Y
주식회사 디오티디 고양야옹이주유소,경기도,고양시,경기도 고양시 일산서구 덕이로188 (덕이동) ,Y
주식회사 디오티디 고양용가리주유소,경기도,고양시,경기도 고양시 일산동구 백마로590 (식사동) ,Y
주식회사 디오티디 수원햄스터주유소,경기도,수원시,경기도 수원시 권선구 매송고색로810 (고색동) ,Y
주식회사 디오티디 아산꿀꿀이주유소,충청남도,아산시,충청남도 아산시 장영실로684 (영인면) ,Y
주식회사 디오티디 원주꼬끼오주유소,강원특별자치도,원주시,강원특별자치도 원주시 원문로1468 (문막읍) ,Y
주식회사 디오티디 원주베짱이주유소,강원특별자치도,원주시,강원특별자치도 원주시 원문로1449 (문막읍) ,Y
주식회사 디오티디 은평유니콘주유소,서울특별시,은평구,서울특별시 은평구 통일로1151 (진관동) ,Y
주식회사 디오티디 인천랍스터주유소,인천광역시,서구,인천광역시 서구 봉수대로1543 (금곡동) ,Y
주식회사 디오티디 파주고라니주유소,경기도,파주시,경기도 파주시 파주로66 (문발동) ,Y
주식회사 디오티디 파주댕댕이주유소,경기도,파주시,경기도 파주시 파주로72 (문발동) ,Y
